language,n,perfect_consensus_rate,hcw_rate,consensus_accuracy,consensus_accuracy_ci_low,consensus_accuracy_ci_high,partial_or_fallback_rate,hard_fallback_rate,mean_fallback_count,mean_nli_replaced,mean_leak_replaced,mean_length_replaced,duplicate_options
Arabic,60.0,0.5,0.31666666666666665,0.5333333333333333,0.4089342702715789,0.6537209395856151,0.5833333333333334,0.23333333333333334,1.5166666666666666,0.6166666666666667,0.43333333333333335,0.25,0.0
English,60.0,0.45,0.18333333333333332,0.65,0.5236261884175486,0.7583222559398244,0.2,0.06666666666666667,0.43333333333333335,0.15,0.15,0.06666666666666667,0.0
Yoruba,60.0,0.3,0.3333333333333333,0.5166666666666667,0.39307810032592494,0.6382495046026722,0.5333333333333333,0.18333333333333332,1.0333333333333334,0.31666666666666665,0.4666666666666667,0.13333333333333333,0.0
